Week,Model,AUROC,AUPRC,F1,Precision,Recall,Balanced Accuracy
2,LogReg,0.7385716734664143,0.7099024314043857,0.6473222979552093,0.6605723370429253,0.6345933562428407,0.6748683925977379
2,RF,0.7411142874682142,0.7129536854465978,0.6492522432701894,0.679465776293823,0.6216113020236732,0.6827202607516631
2,GB,0.7580189644056965,0.7357696606700205,0.6547427652733119,0.6911327959270259,0.6219931271477663,0.6895822873897604
2,XGBoost,0.7315296872217981,0.7034738472050049,0.6474146341463415,0.6620111731843575,0.6334478808705613,0.675463099874907
2,LightGBM,0.747674343669612,0.7222574916297892,0.6512546927484687,0.6748566748566749,0.6292478045055364,0.6822022878431617
4,LogReg,0.7913620671504442,0.7963857999335733,0.6828685258964143,0.7432784041630529,0.6315401621223287,0.7185615424733154
4,RF,0.7986915743096974,0.8030074053797311,0.6836363636363636,0.7567084078711985,0.6234340456890199,0.7223902576556758
4,GB,0.8106487313244104,0.8164706057512803,0.6965113934260939,0.7692650334075724,0.6363301400147384,0.7331075987430014
4,XGBoost,0.7868602623627654,0.7947730461502913,0.6884674922600619,0.7249388753056235,0.6554900515843773,0.7169075873685433
4,LightGBM,0.804101460165801,0.8108587303879506,0.6928104575163399,0.7490364025695931,0.6444362564480471,0.7259948113110515
6,LogReg,0.8122404338944175,0.8163833125510294,0.6986138613861386,0.7636363636363637,0.6437956204379562,0.7325361080913185
6,RF,0.8233933243336876,0.8310606070072981,0.7137487636003956,0.7792656587473002,0.6583941605839416,0.7455636924032638
6,GB,0.8306491691256407,0.8374232275449417,0.7149088025376685,0.7825520833333334,0.658029197080292,0.7470178718625682
6,XGBoost,0.809860585136249,0.8211384131670951,0.7080023251307886,0.7546468401486989,0.6667883211678832,0.7361764846428613
6,LightGBM,0.8272569797030117,0.8354134843701052,0.7119715527459503,0.7760551248923342,0.6576642335766424,0.7437257338095977
8,LogReg,0.8369514292027971,0.8477022291404459,0.7338600886490654,0.7816091954022989,0.691609153650563,0.7589899554153599
8,RF,0.853989749136712,0.8626692193166111,0.7474945961878562,0.8142123287671232,0.6908826734471486,0.7746188824154803
8,GB,0.8613467245321742,0.8701344765810188,0.751672569854388,0.820094461142121,0.6937885942608064,0.7785196235011604
8,XGBoost,0.8400547373432636,0.8523273624007582,0.7419724770642202,0.7829770068576039,0.7050490374137305,0.764730785025403
8,LightGBM,0.8596714810996596,0.8689036020715454,0.7537372147915028,0.821964821964822,0.6959680348710497,0.7802620853206423
