model,threshold,precision,recall,f1,balanced_accuracy_score,AUPRC,AUROC
logistic_regression,0.1,0.49935602575896965,0.9858336360334181,0.6629213483146067,0.548889402873106,0.8481252158730053,0.8370622743382723
logistic_regression,0.2,0.5588676817499464,0.9466037050490375,0.7028047464940669,0.6376295287647276,0.8481252158730053,0.8370622743382723
logistic_regression,0.30000000000000004,0.6248376201610808,0.8735924446058845,0.7285671008785216,0.7011565356188691,0.8481252158730053,0.8370622743382723
logistic_regression,0.4,0.701141924959217,0.780602978568834,0.7387418356823651,0.7408236824959052,0.8481252158730053,0.8370622743382723
logistic_regression,0.5,0.7837171052631579,0.6923356338539775,0.7351976856316297,0.7603323077886075,0.8481252158730053,0.8370622743382723
logistic_regression,0.6,0.8609307359307359,0.5779150018162005,0.6915887850467289,0.74701885861045,0.8481252158730053,0.8370622743382723
logistic_regression,0.7000000000000001,0.924198250728863,0.4605884489647657,0.6147878787878788,0.7133229451090147,0.8481252158730053,0.8370622743382723
logistic_regression,0.8,0.9630996309963099,0.3792226661823465,0.544175136825645,0.6830839179475702,0.8481252158730053,0.8370622743382723
logistic_regression,0.9,0.9825174825174825,0.3062114057391936,0.46690667405150926,0.6506579221907456,0.8481252158730053,0.8370622743382723
random_forest,0.1,0.4937579156866293,0.9912822375590266,0.6591787439613527,0.5390484294844741,0.8626692193166111,0.853989749136712
random_forest,0.2,0.5572649572649573,0.9473301852524518,0.7017355038342526,0.6355449881875836,0.8626692193166111,0.853989749136712
random_forest,0.30000000000000004,0.65148673988749,0.8833999273519797,0.7499229108849831,0.729395786130298,0.8626692193166111,0.853989749136712
random_forest,0.4,0.7273030707610146,0.7915001816200509,0.7580448773699774,0.7624276365019315,0.8626692193166111,0.853989749136712
random_forest,0.5,0.8097849008857022,0.6974209952778787,0.7494145199063232,0.7751138918948139,0.8626692193166111,0.853989749136712
random_forest,0.6,0.8775617446137677,0.6066109698510715,0.7173539518900344,0.7652832917140475,0.8626692193166111,0.853989749136712
random_forest,0.7000000000000001,0.9297548045062956,0.5096258626952416,0.6583763491318629,0.7375152812170724,0.8626692193166111,0.853989749136712
random_forest,0.8,0.9552609776304888,0.4188158372684344,0.5823232323232324,0.700595908190353,0.8626692193166111,0.853989749136712
random_forest,0.9,0.9779492833517089,0.3221939702143117,0.4846994535519126,0.6578332775353543,0.8626692193166111,0.853989749136712
gradient_boosting,0.1,0.48474695820842884,0.998547039593171,0.652659069325736,0.5224458435563767,0.8684361475316089,0.8593298765457857
gradient_boosting,0.2,0.5718667835232253,0.9480566654558663,0.7134071340713407,0.65516410296292,0.8684361475316089,0.8593298765457857
gradient_boosting,0.30000000000000004,0.6586564718732932,0.8761351253178351,0.751987529228371,0.7340858394213197,0.8684361475316089,0.8593298765457857
gradient_boosting,0.4,0.7482806052269602,0.7904104613149292,0.7687687687687688,0.7757535335295273,0.8684361475316089,0.8593298765457857
gradient_boosting,0.5,0.8229706390328152,0.6923356338539775,0.7520220950877885,0.7792618117050566,0.8684361475316089,0.8593298765457857
gradient_boosting,0.6,0.8879263670817542,0.5957137667998547,0.7130434782608696,0.7640775100317811,0.8684361475316089,0.8593298765457857
gradient_boosting,0.7000000000000001,0.9225764476252439,0.51507446422085,0.661072261072261,0.7381181720582057,0.8684361475316089,0.8593298765457857
gradient_boosting,0.8,0.9541501976284585,0.4384308027606248,0.6007964161274266,0.7097506494220879,0.8684361475316089,0.8593298765457857
gradient_boosting,0.9,0.972193614830072,0.34289865601162367,0.5069817400644469,0.6670433227838797,0.8684361475316089,0.8593298765457857
xgboost,0.1,0.5479280033486814,0.9509625862695241,0.6952595936794582,0.6230008753801929,0.8523273624007582,0.8400547373432636
xgboost,0.2,0.6171182577867814,0.8852161278605158,0.727245598328857,0.6958717715020595,0.8523273624007582,0.8400547373432636
xgboost,0.30000000000000004,0.6752669039145908,0.8270977115873592,0.7435102040816327,0.7348608662375438,0.8523273624007582,0.8400547373432636
xgboost,0.4,0.730528511821975,0.763167453686887,0.7464913839047789,0.7551150584361328,0.8523273624007582,0.8400547373432636
xgboost,0.5,0.7829770068576039,0.7050490374137305,0.7419724770642202,0.764730785025403,0.8523273624007582,0.8400547373432636
xgboost,0.6,0.8349650349650349,0.6505630221576462,0.7313189056757861,0.7675138870579353,0.8523273624007582,0.8400547373432636
xgboost,0.7000000000000001,0.8719185423365488,0.5909916454776607,0.7044814894998918,0.7564945172558016,0.8523273624007582,0.8400547373432636
xgboost,0.8,0.9093198992443325,0.5245187068652379,0.6652844966597559,0.7387606589156477,0.8523273624007582,0.8400547373432636
xgboost,0.9,0.9441469013006886,0.44823828550671996,0.6078817733990147,0.7122066101162843,0.8523273624007582,0.8400547373432636
lightgbm,0.1,0.5147422484306639,0.9829277152197603,0.6756554307116105,0.5751779568265903,0.8689036020715454,0.8596714810996596
lightgbm,0.2,0.5939323220536756,0.9244460588448965,0.7232168229610685,0.678280470675712,0.8689036020715454,0.8596714810996596
lightgbm,0.30000000000000004,0.6791215059897319,0.864874682164911,0.7608244128455025,0.7488537901686174,0.8689036020715454,0.8596714810996596
lightgbm,0.4,0.7537653239929948,0.7816926988739556,0.7674750356633381,0.7761270282881527,0.8689036020715454,0.8596714810996596
lightgbm,0.5,0.821964821964822,0.6959680348710497,0.7537372147915028,0.7802620853206423,0.8689036020715454,0.8596714810996596
lightgbm,0.6,0.8712121212121212,0.6265891754449692,0.7289245721529685,0.7716823161820145,0.8689036020715454,0.8596714810996596
lightgbm,0.7000000000000001,0.90759270158917,0.5601162368325463,0.692722371967655,0.7544380139776308,0.8689036020715454,0.8596714810996596
lightgbm,0.8,0.9440905874026894,0.4845622956774428,0.6404224675948151,0.7293895029301052,0.8689036020715454,0.8596714810996596
lightgbm,0.9,0.9705093833780161,0.3944787504540501,0.5609504132231405,0.6918542577335525,0.8689036020715454,0.8596714810996596
