feature,importance
vle_last_access,232
vle_num_days,232
vle_mean_clicks,216
assess_mean_score,215
vle_first_access,199
vle_total_clicks,195
vle_max_clicks,192
assess_std_score,179
vle_std_clicks,174
studied_credits,170
assess_min_score,147
assess_max_score,140
assess_count,128
vle_activity_diversity,127
highest_education_Lower Than A Level,71
num_of_prev_attempts,54
gender_M,39
age_band_35-55,27
imd_band_0-10%,27
region_Scotland,22
imd_band_20-30%,22
imd_band_10-20,20
disability_Y,20
region_Wales,19
region_North Region,14
region_North Western Region,11
imd_band_90-100%,11
region_South East Region,10
imd_band_60-70%,9
imd_band_80-90%,9
region_South Region,9
region_South West Region,8
region_Ireland,7
highest_education_No Formal quals,7
highest_education_HE Qualification,7
region_West Midlands Region,6
imd_band_70-80%,6
imd_band_30-40%,6
imd_band_50-60%,6
imd_band_40-50%,3
region_East Midlands Region,2
highest_education_Post Graduate Qualification,1
region_Yorkshire Region,1
region_London Region,0
assess_missing_count,0
age_band_55_lt_=,0
