feature,importance_mean,importance_std
vle_last_access,0.06364473078693049,0.004524297848431621
assess_mean_score,0.021598404663291902,0.003373216402245609
assess_count,0.01751802423684614,0.0013192207393772045
assess_max_score,0.012824052768829563,0.0033776779618078685
studied_credits,0.012087743518944604,0.001368252991009517
assess_min_score,0.010093572633839532,0.00295608270481877
vle_activity_diversity,0.003942322442092328,0.0016748478610410158
assess_std_score,0.00343610983279643,0.0017316969831778007
vle_first_access,0.0024083448381653438,0.001985953072375759
highest_education_HE Qualification,0.0009664058904739758,0.0004853287933596128
highest_education_Lower Than A Level,0.0009050467863169209,0.0015052533842893896
vle_total_clicks,0.0008743672342383712,0.0018072964522584856
region_Scotland,0.0007363092498849256,0.0003988341770210013
imd_band_30-40%,0.0006596103696885792,0.0004448535051388092
imd_band_90-100%,0.00035281484890319347,0.00043953209945985254
vle_mean_clicks,0.0003374750728639353,0.0007935276672113809
imd_band_70-80%,0.00021475686454976994,0.0005096869987984526
region_South West Region,0.00015339776039269282,0.0003360776545514015
num_of_prev_attempts,0.00013805798435342353,0.000762218637754527
highest_education_No Formal quals,0.00013805798435342353,0.00018724582935623974
region_Ireland,9.20386562356157e-05,0.00033747507286392415
vle_num_days,4.601932811779674e-05,0.0016536392408724176
age_band_55_lt_=,3.067955207853856e-05,6.135910415707712e-05
assess_missing_count,0.0,0.0
region_Yorkshire Region,-1.533977603926928e-05,0.00024205758303511184
highest_education_Post Graduate Qualification,-1.533977603926928e-05,4.601932811780784e-05
region_South Region,-4.601932811780785e-05,0.0002832671469952252
region_North Western Region,-6.135910415707712e-05,0.00042399984540833756
region_South East Region,-9.20386562356157e-05,0.0004070102519227221
imd_band_60-70%,-0.00015339776039270393,0.00046527844418173085
region_Wales,-0.0001687375364319621,0.00031772227607312843
gender_M,-0.00021475686454976994,0.000985095527412329
imd_band_80-90%,-0.00023009664058903923,0.0003447185926406417
disability_Y,-0.00027611596870685817,0.0005893349505230416
region_North Region,-0.00035281484890319347,0.0004604488731340114
imd_band_10-20,-0.0003988341770210124,0.0003577819846507447
imd_band_20-30%,-0.0005829114894922549,0.00061665136500205
imd_band_0-10%,-0.0006442705936493432,0.0008535313847672173
region_East Midlands Region,-0.0006749501457278595,0.0004070102519227372
vle_std_clicks,-0.0007363092498849588,0.001116331056828372
region_West Midlands Region,-0.0008130081300813053,0.0004996624474582907
age_band_35-55,-0.0010124252185918282,0.0009234494212788906
imd_band_50-60%,-0.0015646571560055556,0.0006011939850365297
imd_band_40-50%,-0.0015953367080841052,0.0003707024382142952
vle_max_clicks,-0.0017947537965945725,0.0010222553815951096
region_London Region,-0.001810093572633864,0.00050783694914089
